h,p_best_rate,popsize,forest,hilly,mean,mad
13,0.23999998,64,394976,inf,inf,inf
13,0.28,64,399795.2,inf,inf,inf
13,0.32,64,406387.2,inf,inf,inf
13,0.35999998,64,420876.8,inf,inf,inf
13,0.39999998,64,406771.2,inf,inf,inf
13,0.43999997,64,402476.8,inf,inf,inf
13,0.48,64,410880,inf,inf,inf
13,0.52,64,409740.8,inf,inf,inf
13,0.56,64,419660.8,inf,inf,inf
13,0.6,64,416307.2,inf,inf,inf
13,0.64,64,417043.2,inf,inf,inf
13,0.68,64,416051.2,inf,inf,inf
13,0.72,64,419609.6,inf,inf,inf
13,0.76,64,409286.4,inf,inf,inf
13,0.8,64,417088,inf,inf,inf
13,0.84,64,421235.2,inf,inf,inf
13,0.88,64,417382.4,inf,inf,inf
13,0.92,64,425939.2,inf,inf,inf
13,0.96,64,441920,inf,inf,inf
13,1,64,428601.6,inf,inf,inf
14,0.04,64,inf,inf,inf,inf
14,0.08,64,405088,inf,inf,inf
14,0.12,64,396928,inf,inf,inf
14,0.16,64,420076.8,inf,inf,inf
14,0.19999999,64,410304,inf,inf,inf
14,0.23999998,64,405369.6,inf,inf,inf
14,0.28,64,410726.4,inf,inf,inf
14,0.32,64,401324.8,inf,inf,inf
14,0.35999998,64,411481.6,inf,inf,inf
14,0.39999998,64,410854.4,inf,inf,inf
14,0.43999997,64,424345.6,inf,inf,inf
14,0.48,64,412633.6,inf,inf,inf
14,0.52,64,400300.8,inf,inf,inf
14,0.56,64,418905.6,inf,inf,inf
14,0.6,64,409920,inf,inf,inf
14,0.64,64,431264,inf,inf,inf
14,0.68,64,410163.2,inf,inf,inf
14,0.72,64,420793.6,inf,inf,inf
14,0.76,64,408742.4,inf,inf,inf
14,0.8,64,410880,inf,inf,inf
14,0.84,64,425305.6,inf,inf,inf
14,0.88,64,408646.4,inf,inf,inf
14,0.92,64,433766.4,inf,inf,inf
14,0.96,64,429766.4,inf,inf,inf
14,1,64,426233.6,inf,inf,inf
15,0.04,64,inf,inf,inf,inf
15,0.08,64,418291.2,inf,inf,inf
15,0.12,64,inf,inf,inf,inf
15,0.16,64,410745.6,inf,inf,inf
15,0.19999999,64,401536,inf,inf,inf
15,0.23999998,64,414080,inf,inf,inf
15,0.28,64,402912,inf,inf,inf
15,0.32,64,402054.4,inf,inf,inf
15,0.35999998,64,409113.6,inf,inf,inf
15,0.39999998,64,410304,inf,inf,inf
15,0.43999997,64,410438.4,inf,inf,inf
15,0.48,64,399699.2,inf,inf,inf
15,0.52,64,405363.2,inf,inf,inf
15,0.56,64,407468.8,inf,inf,inf
15,0.6,64,405017.6,inf,inf,inf
15,0.64,64,419500.8,inf,inf,inf
15,0.68,64,416076.8,inf,inf,inf
15,0.72,64,413081.6,inf,inf,inf
15,0.76,64,414899.2,inf,inf,inf
15,0.8,64,412576,inf,inf,inf
15,0.84,64,411321.6,inf,inf,inf
15,0.88,64,433798.4,inf,inf,inf
15,0.92,64,406931.2,inf,inf,inf
15,0.96,64,417113.6,inf,inf,inf
15,1,64,411225.6,inf,inf,inf
16,0.04,64,inf,inf,inf,inf
16,0.08,64,413177.6,inf,inf,inf
16,0.12,64,402073.6,inf,inf,inf
16,0.16,64,415558.4,inf,inf,inf
16,0.19999999,64,402457.6,inf,inf,inf
16,0.23999998,64,403878.4,inf,inf,inf
16,0.28,64,413881.6,inf,inf,inf
16,0.32,64,414841.6,inf,inf,inf
16,0.35999998,64,411264,inf,inf,inf
16,0.39999998,64,413472,inf,inf,inf
16,0.43999997,64,406976,inf,inf,inf
16,0.48,64,405414.4,inf,inf,inf
16,0.52,64,393376,inf,inf,inf
16,0.56,64,408960,inf,inf,inf
16,0.6,64,404569.6,inf,inf,inf
16,0.64,64,407750.4,inf,inf,inf
16,0.68,64,414572.8,inf,inf,inf
16,0.72,64,390515.2,inf,inf,inf
16,0.76,64,416550.4,inf,inf,inf
16,0.8,64,407091.2,inf,inf,inf
16,0.84,64,419968,inf,inf,inf
16,0.88,64,419628.8,inf,inf,inf
16,0.92,64,403520,inf,inf,inf
16,0.96,64,438758.4,inf,inf,inf
16,1,64,423104,inf,inf,inf
17,0.04,64,inf,inf,inf,inf
17,0.08,64,395916.8,inf,inf,inf
17,0.12,64,397484.8,inf,inf,inf
17,0.16,64,423417.6,inf,inf,inf
17,0.19999999,64,405804.8,inf,inf,inf
17,0.23999998,64,413497.6,inf,inf,inf
17,0.28,64,388492.8,inf,inf,inf
17,0.32,64,394131.2,inf,inf,inf
17,0.35999998,64,400620.8,inf,inf,inf
17,0.39999998,64,392864,inf,inf,inf
17,0.43999997,64,408371.2,inf,inf,inf
17,0.48,64,401024,inf,inf,inf
17,0.52,64,408921.6,inf,inf,inf
17,0.56,64,420070.4,inf,inf,inf
17,0.6,64,412217.6,inf,inf,inf
17,0.64,64,404928,inf,inf,inf
17,0.68,64,406348.8,inf,inf,inf
17,0.72,64,406214.4,inf,inf,inf
17,0.76,64,414374.4,inf,inf,inf
17,0.8,64,405292.8,inf,inf,inf
17,0.84,64,413996.8,inf,inf,inf
17,0.88,64,416435.2,inf,inf,inf
17,0.92,64,428742.4,inf,inf,inf
17,0.96,64,418700.8,inf,inf,inf
17,1,64,423091.2,inf,inf,inf
18,0.04,64,inf,inf,inf,inf
18,0.08,64,402585.6,inf,inf,inf
18,0.12,64,396768,inf,inf,inf
18,0.16,64,412614.4,inf,inf,inf
18,0.19999999,64,398284.8,inf,inf,inf
18,0.23999998,64,408089.6,inf,inf,inf
18,0.28,64,404883.2,inf,inf,inf
18,0.32,64,406732.8,inf,inf,inf
18,0.35999998,64,398604.8,inf,inf,inf
18,0.39999998,64,394393.6,inf,inf,inf
18,0.43999997,64,410771.2,inf,inf,inf
18,0.48,64,387788.8,inf,inf,inf
18,0.52,64,399552,inf,inf,inf
18,0.56,64,416166.4,inf,inf,inf
18,0.6,64,402169.6,inf,inf,inf
18,0.64,64,401459.2,inf,inf,inf
18,0.68,64,416268.8,inf,inf,inf
18,0.72,64,402905.6,inf,inf,inf
18,0.76,64,407340.8,inf,inf,inf
18,0.8,64,404902.4,inf,inf,inf
18,0.84,64,422496,inf,inf,inf
18,0.88,64,412979.2,inf,inf,inf
18,0.92,64,415865.6,inf,inf,inf
18,0.96,64,414700.8,inf,inf,inf
18,1,64,419846.4,inf,inf,inf
19,0.04,64,inf,inf,inf,inf
19,0.08,64,inf,inf,inf,inf
19,0.12,64,inf,inf,inf,inf
19,0.16,64,inf,inf,inf,inf
19,0.19999999,64,inf,inf,inf,inf
19,0.23999998,64,394585.6,inf,inf,inf
19,0.28,64,395974.4,inf,inf,inf
19,0.32,64,411110.4,inf,inf,inf
19,0.35999998,64,390464,inf,inf,inf
19,0.39999998,64,392768,inf,inf,inf
19,0.43999997,64,393420.8,inf,inf,inf
19,0.48,64,402464,inf,inf,inf
19,0.52,64,411987.2,inf,inf,inf
19,0.56,64,411328,inf,inf,inf
19,0.6,64,406860.8,inf,inf,inf
19,0.64,64,406944,inf,inf,inf
19,0.68,64,417350.4,inf,inf,inf
19,0.72,64,408588.8,inf,inf,inf
19,0.76,64,398131.2,inf,inf,inf
19,0.8,64,398944,inf,inf,inf
19,0.84,64,403251.2,inf,inf,inf
19,0.88,64,414790.4,inf,inf,inf
19,0.92,64,401625.6,inf,inf,inf
19,0.96,64,408825.6,inf,inf,inf
19,1,64,417593.6,inf,inf,inf
20,0.04,64,inf,inf,inf,inf
20,0.08,64,397702.4,inf,inf,inf
20,0.12,64,inf,inf,inf,inf
20,0.16,64,401369.6,inf,inf,inf
20,0.19999999,64,395334.4,inf,inf,inf
20,0.23999998,64,397388.8,inf,inf,inf
20,0.28,64,396224,inf,inf,inf
20,0.32,64,400979.2,inf,inf,inf
20,0.35999998,64,399571.2,inf,inf,inf
20,0.39999998,64,400345.6,inf,inf,inf
20,0.43999997,64,389696,inf,inf,inf
20,0.48,64,399360,inf,inf,inf
20,0.52,64,392800,inf,inf,inf
20,0.56,64,394329.6,inf,inf,inf
20,0.6,64,413408,inf,inf,inf
20,0.64,64,397280,inf,inf,inf
20,0.68,64,403942.4,inf,inf,inf
20,0.72,64,409593.6,inf,inf,inf
20,0.76,64,400057.6,inf,inf,inf
20,0.8,64,401798.4,inf,inf,inf
20,0.84,64,392160,inf,inf,inf
20,0.88,64,411449.6,inf,inf,inf
20,0.92,64,396300.8,inf,inf,inf
20,0.96,64,420115.2,inf,inf,inf
20,1,64,411801.6,inf,inf,inf
21,0.04,64,inf,inf,inf,inf
21,0.08,64,inf,inf,inf,inf
21,0.12,64,389817.6,inf,inf,inf
21,0.16,64,403078.4,inf,inf,inf
21,0.19999999,64,394764.8,inf,inf,inf
21,0.23999998,64,403494.4,inf,inf,inf
21,0.28,64,408160,inf,inf,inf
21,0.32,64,392729.6,inf,inf,inf
21,0.35999998,64,393971.2,inf,inf,inf
21,0.39999998,64,394515.2,inf,inf,inf
21,0.43999997,64,398624,inf,inf,inf
21,0.48,64,407648,inf,inf,inf
21,0.52,64,399692.8,inf,inf,inf
21,0.56,64,396332.8,inf,inf,inf
21,0.6,64,395904,inf,inf,inf
21,0.64,64,399609.6,inf,inf,inf
21,0.68,64,405913.6,inf,inf,inf
21,0.72,64,396000,inf,inf,inf
