popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.08,0.43999997,inf,inf,inf
64,0.08,0.48,inf,inf,inf
64,0.08,0.52,inf,inf,inf
64,0.08,0.56,inf,inf,inf
64,0.08,0.6,inf,inf,inf
64,0.08,0.64,inf,inf,inf
64,0.08,0.68,inf,inf,inf
64,0.08,0.72,inf,inf,inf
64,0.08,0.76,inf,inf,inf
64,0.08,0.8,inf,inf,inf
64,0.08,0.84,inf,inf,inf
64,0.08,0.88,inf,inf,inf
64,0.08,0.92,inf,inf,inf
64,0.08,0.96,inf,inf,inf
64,0.12,0.04,inf,inf,inf
64,0.12,0.48,inf,inf,inf
64,0.12,0.52,inf,inf,inf
64,0.12,0.56,inf,inf,inf
64,0.12,0.6,inf,inf,inf
64,0.12,0.64,inf,inf,inf
64,0.12,0.68,inf,inf,inf
64,0.12,0.72,inf,inf,inf
64,0.12,0.76,inf,inf,inf
64,0.12,0.8,inf,inf,inf
64,0.12,0.84,inf,inf,inf
64,0.12,0.88,inf,inf,inf
64,0.12,0.92,inf,inf,inf
64,0.12,0.96,inf,inf,inf
64,0.16,0.52,inf,inf,inf
64,0.16,0.56,inf,inf,inf
64,0.16,0.6,inf,inf,inf
64,0.16,0.64,inf,inf,inf
64,0.16,0.68,inf,inf,inf
64,0.16,0.72,inf,inf,inf
64,0.16,0.76,inf,inf,inf
64,0.16,0.8,inf,inf,inf
64,0.16,0.84,inf,inf,inf
64,0.16,0.88,inf,inf,inf
64,0.16,0.92,inf,inf,inf
64,0.16,0.96,inf,inf,inf
64,0.19999999,0.04,inf,inf,inf
64,0.19999999,0.48,inf,inf,inf
64,0.19999999,0.52,inf,inf,inf
64,0.19999999,0.56,inf,inf,inf
64,0.19999999,0.6,inf,inf,inf
64,0.19999999,0.64,inf,inf,inf
64,0.19999999,0.68,inf,inf,inf
64,0.19999999,0.72,inf,inf,inf
64,0.19999999,0.76,inf,inf,inf
64,0.19999999,0.8,inf,inf,inf
64,0.19999999,0.84,inf,inf,inf
64,0.19999999,0.88,inf,inf,inf
64,0.19999999,0.92,inf,inf,inf
64,0.19999999,0.96,inf,inf,inf
64,0.24,0.04,inf,inf,inf
64,0.24,0.48,inf,inf,inf
64,0.24,0.52,inf,inf,inf
64,0.24,0.56,inf,inf,inf
64,0.24,0.6,inf,inf,inf
64,0.24,0.64,inf,inf,inf
64,0.24,0.68,inf,inf,inf
64,0.24,0.72,inf,inf,inf
64,0.24,0.76,inf,inf,inf
64,0.24,0.8,inf,inf,inf
64,0.24,0.84,inf,inf,inf
64,0.24,0.88,inf,inf,inf
64,0.24,0.92,inf,inf,inf
64,0.24,0.96,inf,inf,inf
64,0.28,0.04,inf,inf,inf
64,0.28,0.48,inf,inf,inf
64,0.28,0.52,inf,inf,inf
64,0.28,0.56,inf,inf,inf
64,0.28,0.6,inf,inf,inf
64,0.28,0.64,inf,inf,inf
64,0.28,0.68,inf,inf,inf
64,0.28,0.72,inf,inf,inf
64,0.28,0.76,inf,inf,inf
64,0.28,0.8,inf,inf,inf
64,0.28,0.84,inf,inf,inf
64,0.28,0.88,inf,inf,inf
64,0.28,0.92,inf,inf,inf
64,0.28,0.96,inf,inf,inf
64,0.32,0.48,inf,inf,inf
64,0.32,0.52,inf,inf,inf
64,0.32,0.56,inf,inf,inf
64,0.32,0.6,inf,inf,inf
64,0.32,0.64,inf,inf,inf
64,0.32,0.68,inf,inf,inf
64,0.32,0.72,inf,inf,inf
64,0.32,0.76,inf,inf,inf
64,0.32,0.8,inf,inf,inf
64,0.32,0.84,inf,inf,inf
64,0.32,0.88,inf,inf,inf
64,0.32,0.92,inf,inf,inf
64,0.32,0.96,inf,inf,inf
64,0.35999998,0.04,inf,inf,inf
64,0.35999998,0.52,inf,inf,inf
64,0.35999998,0.56,inf,inf,inf
64,0.35999998,0.6,inf,inf,inf
64,0.35999998,0.64,inf,inf,inf
64,0.35999998,0.68,inf,inf,inf
64,0.35999998,0.72,inf,inf,inf
64,0.35999998,0.76,inf,inf,inf
64,0.35999998,0.8,inf,inf,inf
64,0.35999998,0.84,inf,inf,inf
64,0.35999998,0.88,inf,inf,inf
64,0.35999998,0.92,inf,inf,inf
64,0.35999998,0.96,inf,inf,inf
64,0.39999998,0.04,inf,inf,inf
64,0.39999998,0.08,inf,inf,inf
64,0.39999998,0.52,inf,inf,inf
64,0.39999998,0.56,inf,inf,inf
64,0.39999998,0.6,inf,inf,inf
64,0.39999998,0.64,inf,inf,inf
64,0.39999998,0.68,inf,inf,inf
64,0.39999998,0.72,inf,inf,inf
64,0.39999998,0.76,inf,inf,inf
64,0.39999998,0.8,inf,inf,inf
64,0.39999998,0.84,inf,inf,inf
64,0.39999998,0.88,inf,inf,inf
64,0.39999998,0.92,inf,inf,inf
64,0.39999998,0.96,inf,inf,inf
64,0.44,0.08,inf,inf,inf
64,0.44,0.6,inf,inf,inf
64,0.44,0.64,inf,inf,inf
64,0.44,0.68,inf,inf,inf
64,0.44,0.72,inf,inf,inf
64,0.44,0.76,inf,inf,inf
64,0.44,0.8,inf,inf,inf
64,0.44,0.84,inf,inf,inf
64,0.44,0.88,inf,inf,inf
64,0.44,0.92,inf,inf,inf
64,0.44,0.96,inf,inf,inf
64,0.48,0.04,inf,inf,inf
64,0.48,0.12,inf,inf,inf
64,0.48,0.68,inf,inf,inf
64,0.48,0.72,inf,inf,inf
64,0.48,0.76,inf,inf,inf
64,0.48,0.8,inf,inf,inf
64,0.48,0.84,inf,inf,inf
64,0.48,0.88,inf,inf,inf
64,0.48,0.92,inf,inf,inf
64,0.48,0.96,inf,inf,inf
64,0.52,0.04,inf,inf,inf
64,0.52,0.72,inf,inf,inf
64,0.52,0.76,inf,inf,inf
64,0.52,0.8,inf,inf,inf
64,0.52,0.84,inf,inf,inf
64,0.52,0.88,inf,inf,inf
64,0.52,0.92,inf,inf,inf
64,0.52,0.96,inf,inf,inf
64,0.56,0.04,inf,inf,inf
64,0.56,0.08,inf,inf,inf
64,0.56,0.12,inf,inf,inf
64,0.56,0.19999999,inf,inf,inf
64,0.56,0.23999998,inf,inf,inf
64,0.56,0.76,inf,inf,inf
64,0.56,0.8,inf,inf,inf
64,0.56,0.84,inf,inf,inf
64,0.56,0.88,inf,inf,inf
64,0.56,0.92,inf,inf,inf
64,0.56,0.96,inf,inf,inf
64,0.59999996,0.04,inf,inf,inf
64,0.59999996,0.08,inf,inf,inf
64,0.59999996,0.12,inf,inf,inf
64,0.59999996,0.16,inf,inf,inf
64,0.59999996,0.28,inf,inf,inf
64,0.59999996,0.39999998,inf,inf,inf
64,0.59999996,0.88,inf,inf,inf
64,0.59999996,0.92,inf,inf,inf
64,0.59999996,0.96,inf,inf,inf
64,0.64,0.04,inf,inf,inf
64,0.64,0.08,inf,inf,inf
64,0.64,0.12,inf,inf,inf
64,0.64,0.16,inf,inf,inf
64,0.64,0.19999999,inf,inf,inf
64,0.64,0.23999998,inf,inf,inf
64,0.64,0.32,inf,inf,inf
64,0.64,0.48,inf,inf,inf
64,0.64,0.56,inf,inf,inf
64,0.64,0.64,inf,inf,inf
64,0.64,0.76,inf,inf,inf
64,0.64,0.8,inf,inf,inf
64,0.64,0.84,inf,inf,inf
64,0.64,0.88,inf,inf,inf
64,0.64,0.92,inf,inf,inf
64,0.64,0.96,inf,inf,inf
64,0.68,0.04,inf,inf,inf
64,0.68,0.08,inf,inf,inf
64,0.68,0.12,inf,inf,inf
64,0.68,0.16,inf,inf,inf
64,0.68,0.19999999,inf,inf,inf
64,0.68,0.23999998,inf,inf,inf
64,0.68,0.28,inf,inf,inf
64,0.68,0.39999998,inf,inf,inf
64,0.68,0.43999997,inf,inf,inf
64,0.68,0.48,inf,inf,inf
64,0.68,0.52,inf,inf,inf
64,0.68,0.6,inf,inf,inf
64,0.68,0.68,inf,inf,inf
64,0.68,0.72,inf,inf,inf
64,0.68,0.8,inf,inf,inf
64,0.68,0.84,inf,inf,inf
64,0.68,0.88,inf,inf,inf
64,0.68,0.92,inf,inf,inf
64,0.68,0.96,inf,inf,inf
64,0.71999997,0.04,inf,inf,inf
64,0.71999997,0.08,inf,inf,inf
64,0.71999997,0.12,inf,inf,inf
64,0.71999997,0.16,inf,inf,inf
64,0.71999997,0.19999999,inf,inf,inf
64,0.71999997,0.23999998,inf,inf,inf
64,0.71999997,0.28,inf,inf,inf
64,0.71999997,0.32,inf,inf,inf
64,0.71999997,0.35999998,inf,inf,inf
64,0.71999997,0.39999998,inf,inf,inf
64,0.71999997,0.43999997,inf,inf,inf
64,0.71999997,0.48,inf,inf,inf
64,0.71999997,0.52,inf,inf,inf
64,0.71999997,0.56,inf,inf,inf
64,0.71999997,0.6,inf,inf,inf
