cr,f,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.24,0.04,64,6822.4,inf,inf,10732.8,inf,inf,inf,inf
0.24,0.23999998,64,16473.6,27475.2,27744,25753.6,41427.2,inf,inf,inf
0.24,0.28,64,23654.4,36441.6,36435.2,38028.8,inf,inf,inf,inf
0.24,0.32,64,37382.4,inf,inf,inf,inf,inf,inf,inf
0.24,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.24,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.04,64,6560,inf,inf,9926.4,inf,inf,inf,inf
0.28,0.08,64,7206.4,17926.4,17836.8,10528,26809.6,inf,inf,inf
0.28,0.23999998,64,16435.2,27385.6,27270.4,24582.4,41088,inf,inf,inf
0.28,0.28,64,24326.4,36844.8,36691.2,38604.8,inf,inf,inf,inf
0.28,0.32,64,40345.6,inf,inf,inf,inf,inf,inf,inf
0.28,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.28,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.04,64,6252.8,inf,inf,9382.4,inf,inf,inf,inf
0.32,0.08,64,6732.8,18259.2,17952,10080,31616,inf,inf,inf
0.32,0.23999998,64,16499.2,26995.2,26739.2,23168,39859.2,inf,inf,inf
0.32,0.28,64,23654.4,37056,37401.6,37036.8,inf,inf,inf,inf
0.32,0.32,64,39884.8,inf,inf,inf,inf,inf,inf,inf
0.32,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.32,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.04,64,6124.8,inf,inf,9068.8,inf,inf,inf,inf
0.35999998,0.08,64,6560,18521.6,18483.2,9689.6,inf,inf,inf,inf
0.35999998,0.23999998,64,15827.2,26662.4,26188.8,22982.4,39532.8,inf,inf,inf
0.35999998,0.28,64,23878.4,36780.8,36672,34297.6,inf,inf,inf,inf
0.35999998,0.32,64,38694.4,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.35999998,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.04,64,5753.6,inf,inf,8896,inf,inf,inf,inf
0.39999998,0.08,64,6259.2,19564.8,21024,9312,inf,inf,inf,inf
0.39999998,0.28,64,21568,35923.2,36134.4,32320,inf,inf,inf,inf
0.39999998,0.32,64,34873.6,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.64,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.68,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.72,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.76,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.8,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.84,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.88,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.92,64,inf,inf,inf,inf,inf,inf,inf,inf
0.39999998,0.96,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.04,64,5632,inf,inf,8678.4,inf,inf,inf,inf
0.44,0.08,64,6195.2,inf,inf,9049.6,inf,inf,inf,inf
0.44,0.12,64,6931.2,16742.4,16793.6,9977.6,28179.2,inf,inf,inf
0.44,0.28,64,19936,34476.8,34675.2,27590.4,inf,inf,inf,inf
0.44,0.32,64,30144,inf,inf,41657.6,inf,inf,inf,inf
0.44,0.35999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.39999998,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.43999997,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.48,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.52,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.56,64,inf,inf,inf,inf,inf,inf,inf,inf
0.44,0.6,64,inf,inf,inf,inf,inf,inf,inf,inf
