cr,f,popsize,forest,hilly,mean,mad
0.39999998,0.28,64,inf,inf,inf,inf
0.39999998,0.32,64,49625.6,inf,inf,inf
0.39999998,0.35999998,64,inf,inf,inf,inf
0.39999998,0.39999998,64,89740.8,inf,inf,inf
0.39999998,0.43999997,64,121561.6,inf,inf,inf
0.39999998,0.56,64,318393.6,inf,inf,inf
0.39999998,0.6,64,inf,inf,inf,inf
0.39999998,0.64,64,inf,inf,inf,inf
0.39999998,0.68,64,inf,inf,inf,inf
0.39999998,0.72,64,inf,inf,inf,inf
0.39999998,0.76,64,inf,inf,inf,inf
0.39999998,0.8,64,inf,inf,inf,inf
0.39999998,0.84,64,inf,inf,inf,inf
0.39999998,0.88,64,inf,inf,inf,inf
0.39999998,0.92,64,inf,inf,inf,inf
0.39999998,0.96,64,inf,inf,inf,inf
0.44,0.04,64,inf,inf,inf,inf
0.44,0.08,64,inf,inf,inf,inf
0.44,0.12,64,inf,inf,inf,inf
0.44,0.16,64,inf,inf,inf,inf
0.44,0.19999999,64,inf,inf,inf,inf
0.44,0.23999998,64,inf,inf,inf,inf
0.44,0.28,64,inf,inf,inf,inf
0.44,0.32,64,inf,inf,inf,inf
0.44,0.35999998,64,72211.2,inf,inf,inf
0.44,0.39999998,64,93664,inf,inf,inf
0.44,0.52,64,262035.2,inf,inf,inf
0.44,0.56,64,388160,inf,inf,inf
0.44,0.6,64,inf,inf,inf,inf
0.44,0.64,64,inf,inf,inf,inf
0.44,0.68,64,inf,inf,inf,inf
0.44,0.72,64,inf,inf,inf,inf
0.44,0.76,64,inf,inf,inf,inf
0.44,0.8,64,inf,inf,inf,inf
0.44,0.84,64,inf,inf,inf,inf
0.44,0.88,64,inf,inf,inf,inf
0.44,0.92,64,inf,inf,inf,inf
0.44,0.96,64,inf,inf,inf,inf
0.48,0.04,64,inf,inf,inf,inf
0.48,0.08,64,inf,inf,inf,inf
0.48,0.12,64,inf,inf,inf,inf
0.48,0.16,64,inf,inf,inf,inf
0.48,0.19999999,64,inf,inf,inf,inf
0.48,0.23999998,64,inf,inf,inf,inf
0.48,0.28,64,inf,inf,inf,inf
0.48,0.32,64,inf,inf,inf,inf
0.48,0.35999998,64,71411.2,inf,inf,inf
0.48,0.39999998,64,98016,inf,inf,inf
0.48,0.43999997,64,inf,228876.8,inf,inf
0.48,0.48,64,216115.2,inf,inf,inf
0.48,0.52,64,307385.6,inf,inf,inf
0.48,0.56,64,443219.2,inf,inf,inf
0.48,0.6,64,inf,inf,inf,inf
0.48,0.64,64,inf,inf,inf,inf
0.48,0.68,64,inf,inf,inf,inf
0.48,0.72,64,inf,inf,inf,inf
0.48,0.76,64,inf,inf,inf,inf
0.48,0.8,64,inf,inf,inf,inf
0.48,0.84,64,inf,inf,inf,inf
0.48,0.88,64,inf,inf,inf,inf
0.48,0.92,64,inf,inf,inf,inf
0.48,0.96,64,inf,inf,inf,inf
0.52,0.04,64,inf,inf,inf,inf
0.52,0.08,64,inf,inf,inf,inf
0.52,0.12,64,inf,inf,inf,inf
0.52,0.16,64,inf,inf,inf,inf
0.52,0.19999999,64,inf,inf,inf,inf
0.52,0.23999998,64,inf,inf,inf,inf
0.52,0.28,64,inf,inf,inf,inf
0.52,0.32,64,inf,inf,inf,inf
0.52,0.35999998,64,inf,inf,inf,inf
0.52,0.39999998,64,inf,inf,inf,inf
0.52,0.52,64,343340.8,inf,inf,inf
0.52,0.56,64,inf,inf,inf,inf
0.52,0.6,64,inf,inf,inf,inf
0.52,0.64,64,inf,inf,inf,inf
0.52,0.68,64,inf,inf,inf,inf
0.52,0.72,64,inf,inf,inf,inf
0.52,0.76,64,inf,inf,inf,inf
0.52,0.8,64,inf,inf,inf,inf
0.52,0.84,64,inf,inf,inf,inf
0.52,0.88,64,inf,inf,inf,inf
0.52,0.92,64,inf,inf,inf,inf
0.52,0.96,64,inf,inf,inf,inf
0.56,0.04,64,inf,inf,inf,inf
0.56,0.08,64,inf,inf,inf,inf
0.56,0.12,64,inf,inf,inf,inf
0.56,0.16,64,inf,inf,inf,inf
0.56,0.19999999,64,inf,inf,inf,inf
0.56,0.23999998,64,inf,inf,inf,inf
0.56,0.28,64,inf,inf,inf,inf
0.56,0.32,64,inf,inf,inf,inf
0.56,0.35999998,64,inf,inf,inf,inf
0.56,0.39999998,64,inf,inf,inf,inf
0.56,0.43999997,64,173926.4,inf,inf,inf
0.56,0.52,64,inf,inf,inf,inf
0.56,0.56,64,inf,inf,inf,inf
0.56,0.6,64,inf,inf,inf,inf
0.56,0.64,64,inf,inf,inf,inf
0.56,0.68,64,inf,inf,inf,inf
0.56,0.72,64,inf,inf,inf,inf
0.56,0.76,64,inf,inf,inf,inf
0.56,0.8,64,inf,inf,inf,inf
0.56,0.84,64,inf,inf,inf,inf
0.56,0.88,64,inf,inf,inf,inf
0.56,0.92,64,inf,inf,inf,inf
0.56,0.96,64,inf,inf,inf,inf
0.59999996,0.04,64,inf,inf,inf,inf
0.59999996,0.08,64,inf,inf,inf,inf
0.59999996,0.12,64,inf,inf,inf,inf
0.59999996,0.16,64,inf,inf,inf,inf
0.59999996,0.19999999,64,inf,inf,inf,inf
0.59999996,0.23999998,64,inf,inf,inf,inf
0.59999996,0.28,64,inf,inf,inf,inf
0.59999996,0.32,64,inf,inf,inf,inf
0.59999996,0.35999998,64,inf,inf,inf,inf
0.59999996,0.39999998,64,118252.8,inf,inf,inf
0.59999996,0.43999997,64,181331.2,inf,inf,inf
