popsize,restart_tolerance,self_instead_neighbour,sigma,shubert,mean,mad
64,0.00000001,0.44,0.08,70444.8,70444.8,0
64,0.00000001,0.16,0.19999999,71212.8,71212.8,0
64,0.00000001,0.88,0.16,71328,71328,0
64,0.00000001,0.39999998,0.08,71456,71456,0
64,0.00000001,0,0.28,73651.2,73651.2,0
64,0.00000001,0.79999995,0.08,73862.4,73862.4,0
64,0.00000001,0.91999996,0.28,73913.6,73913.6,0
64,0.00000001,0.96,0.52,73952,73952,0
64,0.00000001,0.08,0.23999998,74688,74688,0
64,0.00000001,0.19999999,0.16,75712,75712,0
64,0.00000001,0.04,0.28,78995.2,78995.2,0
64,0.00000001,0.96,0.56,79616,79616,0
64,0.00000001,0.24,0.16,83334.4,83334.4,0
64,0.00000001,0.28,0.16,85638.4,85638.4,0
64,0.00000001,0.84,0.12,85676.8,85676.8,0
64,0.00000001,0.35999998,0.12,87251.2,87251.2,0
64,0.00000001,0.91999996,0.32,89017.6,89017.6,0
64,0.00000001,0.56,0.08,90668.8,90668.8,0
64,0.00000001,0.32,0.16,91014.4,91014.4,0
64,0.00000001,0.16,0.23999998,92518.4,92518.4,0
64,0.00000001,0.96,0.6,94624,94624,0
64,0.00000001,0.19999999,0.19999999,94848,94848,0
64,0.00000001,0.88,0.19999999,97606.4,97606.4,0
64,0.00000001,0.91999996,0.35999998,99449.6,99449.6,0
64,0.00000001,0.39999998,0.12,100934.4,100934.4,0
64,0.00000001,0.52,0.08,102432,102432,0
64,0.00000001,0.96,0.64,105587.2,105587.2,0
64,0.00000001,0.96,0.68,105612.8,105612.8,0
64,0.00000001,0,0.32,108128,108128,0
64,0.00000001,0.59999996,0.08,108844.8,108844.8,0
64,0.00000001,0.64,0.08,112115.2,112115.2,0
64,0.00000001,0.91999996,0.39999998,114720,114720,0
64,0.00000001,0.12,0.23999998,115052.8,115052.8,0
64,0.00000001,0.76,0.08,115328,115328,0
64,0.00000001,0.84,0.16,115334.4,115334.4,0
64,0.00000001,0.28,0.19999999,116326.4,116326.4,0
64,0.00000001,0.71999997,0.08,116595.2,116595.2,0
64,0.00000001,0.96,0.72,117792,117792,0
64,0.00000001,0.88,0.23999998,119795.2,119795.2,0
64,0.00000001,0.08,0.32,120774.4,120774.4,0
64,0.00000001,0.24,0.19999999,121043.2,121043.2,0
64,0.00000001,0.12,0.28,121792,121792,0
64,0.00000001,0,0.35999998,125273.6,125273.6,0
64,0.00000001,0.04,0.32,127417.6,127417.6,0
64,0.00000001,0.08,0.28,129484.8,129484.8,0
64,0.00000001,0.96,0.8,130169.6,130169.6,0
64,0.00000001,0.48,0.12,130278.4,130278.4,0
64,0.00000001,0.44,0.12,131232,131232,0
64,0.00000001,0.91999996,0.43999997,131238.4,131238.4,0
64,0.00000001,0.35999998,0.16,133580.8,133580.8,0
64,0.00000001,0.96,0.76,134195.2,134195.2,0
64,0.00000001,0.39999998,0.16,134470.4,134470.4,0
64,0.00000001,0.19999999,0.23999998,136518.4,136518.4,0
64,0.00000001,0.79999995,0.12,137907.2,137907.2,0
64,0.00000001,0.52,0.12,152972.8,152972.8,0
64,0.00000001,0.24,0.23999998,154566.4,154566.4,0
64,0.00000001,0.32,0.19999999,155699.2,155699.2,0
64,0.00000001,0.88,0.28,156473.6,156473.6,0
64,0.00000001,0.96,0.84,157740.8,157740.8,0
64,0.00000001,0.91999996,0.48,166937.6,166937.6,0
64,0.00000001,0.16,0.28,168998.4,168998.4,0
64,0.00000001,0.68,0.08,171449.6,171449.6,0
64,0.00000001,0.96,0.88,176832,176832,0
64,0.00000001,0.12,0.32,177190.4,177190.4,0
64,0.00000001,0.91999996,0.52,187897.6,187897.6,0
64,0.00000001,0.08,0.35999998,190425.6,190425.6,0
