popsize,self_instead_neighbour,sigma,shubert,mean,mad
64,0.32,0.6,inf,inf,inf
64,0.32,0.64,inf,inf,inf
64,0.32,0.68,inf,inf,inf
64,0.32,0.72,inf,inf,inf
64,0.32,0.76,inf,inf,inf
64,0.32,0.8,inf,inf,inf
64,0.32,0.84,inf,inf,inf
64,0.32,0.88,inf,inf,inf
64,0.32,0.92,inf,inf,inf
64,0.32,0.96,inf,inf,inf
64,0.35999998,0.04,inf,inf,inf
64,0.35999998,0.28,inf,inf,inf
64,0.35999998,0.32,inf,inf,inf
64,0.35999998,0.35999998,inf,inf,inf
64,0.35999998,0.39999998,inf,inf,inf
64,0.35999998,0.43999997,inf,inf,inf
64,0.35999998,0.48,inf,inf,inf
64,0.35999998,0.52,inf,inf,inf
64,0.35999998,0.56,inf,inf,inf
64,0.35999998,0.6,inf,inf,inf
64,0.35999998,0.64,inf,inf,inf
64,0.35999998,0.68,inf,inf,inf
64,0.35999998,0.72,inf,inf,inf
64,0.35999998,0.76,inf,inf,inf
64,0.35999998,0.8,inf,inf,inf
64,0.35999998,0.84,inf,inf,inf
64,0.35999998,0.88,inf,inf,inf
64,0.35999998,0.92,inf,inf,inf
64,0.35999998,0.96,inf,inf,inf
64,0.39999998,0.19999999,inf,inf,inf
64,0.39999998,0.23999998,inf,inf,inf
64,0.39999998,0.28,inf,inf,inf
64,0.39999998,0.32,inf,inf,inf
64,0.39999998,0.35999998,inf,inf,inf
64,0.39999998,0.39999998,inf,inf,inf
64,0.39999998,0.43999997,inf,inf,inf
64,0.39999998,0.48,inf,inf,inf
64,0.39999998,0.52,inf,inf,inf
64,0.39999998,0.56,inf,inf,inf
64,0.39999998,0.6,inf,inf,inf
64,0.39999998,0.64,inf,inf,inf
64,0.39999998,0.68,inf,inf,inf
64,0.39999998,0.72,inf,inf,inf
64,0.39999998,0.76,inf,inf,inf
64,0.39999998,0.8,inf,inf,inf
64,0.39999998,0.84,inf,inf,inf
64,0.39999998,0.88,inf,inf,inf
64,0.39999998,0.92,inf,inf,inf
64,0.39999998,0.96,inf,inf,inf
64,0.44,0.23999998,inf,inf,inf
64,0.44,0.28,inf,inf,inf
64,0.44,0.32,inf,inf,inf
64,0.44,0.35999998,inf,inf,inf
64,0.44,0.39999998,inf,inf,inf
64,0.44,0.43999997,inf,inf,inf
64,0.44,0.48,inf,inf,inf
64,0.44,0.52,inf,inf,inf
64,0.44,0.56,inf,inf,inf
64,0.44,0.6,inf,inf,inf
64,0.44,0.64,inf,inf,inf
64,0.44,0.68,inf,inf,inf
64,0.44,0.72,inf,inf,inf
64,0.44,0.76,inf,inf,inf
64,0.44,0.8,inf,inf,inf
64,0.44,0.84,inf,inf,inf
64,0.44,0.88,inf,inf,inf
64,0.44,0.92,inf,inf,inf
64,0.44,0.96,inf,inf,inf
64,0.48,0.16,inf,inf,inf
64,0.48,0.19999999,inf,inf,inf
64,0.48,0.23999998,inf,inf,inf
64,0.48,0.28,inf,inf,inf
64,0.48,0.32,inf,inf,inf
64,0.48,0.35999998,inf,inf,inf
64,0.48,0.39999998,inf,inf,inf
64,0.48,0.43999997,inf,inf,inf
64,0.48,0.48,inf,inf,inf
64,0.48,0.52,inf,inf,inf
64,0.48,0.56,inf,inf,inf
64,0.48,0.6,inf,inf,inf
64,0.48,0.64,inf,inf,inf
64,0.48,0.68,inf,inf,inf
64,0.48,0.72,inf,inf,inf
64,0.48,0.76,inf,inf,inf
64,0.48,0.8,inf,inf,inf
64,0.48,0.84,inf,inf,inf
64,0.48,0.88,inf,inf,inf
64,0.48,0.92,inf,inf,inf
64,0.48,0.96,inf,inf,inf
64,0.52,0.04,inf,inf,inf
64,0.52,0.16,inf,inf,inf
64,0.52,0.19999999,inf,inf,inf
64,0.52,0.23999998,inf,inf,inf
64,0.52,0.28,inf,inf,inf
64,0.52,0.32,inf,inf,inf
64,0.52,0.35999998,inf,inf,inf
64,0.52,0.39999998,inf,inf,inf
64,0.52,0.43999997,inf,inf,inf
64,0.52,0.48,inf,inf,inf
64,0.52,0.52,inf,inf,inf
64,0.52,0.56,inf,inf,inf
64,0.52,0.6,inf,inf,inf
64,0.52,0.64,inf,inf,inf
64,0.52,0.68,inf,inf,inf
64,0.52,0.72,inf,inf,inf
64,0.52,0.76,inf,inf,inf
64,0.52,0.8,inf,inf,inf
64,0.52,0.84,inf,inf,inf
64,0.52,0.88,inf,inf,inf
64,0.52,0.92,inf,inf,inf
64,0.52,0.96,inf,inf,inf
64,0.56,0.16,inf,inf,inf
64,0.56,0.19999999,inf,inf,inf
64,0.56,0.23999998,inf,inf,inf
64,0.56,0.28,inf,inf,inf
64,0.56,0.32,inf,inf,inf
64,0.56,0.35999998,inf,inf,inf
64,0.56,0.39999998,inf,inf,inf
64,0.56,0.43999997,inf,inf,inf
64,0.56,0.48,inf,inf,inf
64,0.56,0.52,inf,inf,inf
64,0.56,0.56,inf,inf,inf
64,0.56,0.6,inf,inf,inf
64,0.56,0.64,inf,inf,inf
64,0.56,0.68,inf,inf,inf
64,0.56,0.72,inf,inf,inf
64,0.56,0.76,inf,inf,inf
64,0.56,0.8,inf,inf,inf
64,0.56,0.84,inf,inf,inf
64,0.56,0.88,inf,inf,inf
64,0.56,0.92,inf,inf,inf
