popsize,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.08,0.28,14579.2,20915.2,20780.8,21062.4,42540.8,inf,inf,inf
64,0.08,0.32,inf,42067.2,41753.6,inf,inf,inf,inf,inf
64,0.08,0.35999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.39999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.43999997,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.48,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.52,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.56,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.6,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.64,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.68,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.72,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.76,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.8,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.84,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.88,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.92,inf,inf,inf,inf,inf,inf,inf,inf
64,0.08,0.96,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.04,3206.4,inf,inf,4684.8,inf,inf,inf,inf
64,0.12,0.08,3520,inf,11417.6,4806.4,inf,inf,inf,inf
64,0.12,0.28,15718.4,21126.4,21094.4,22905.6,41926.4,inf,inf,inf
64,0.12,0.32,inf,41868.8,41651.2,inf,inf,inf,inf,inf
64,0.12,0.35999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.39999998,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.43999997,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.48,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.52,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.56,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.6,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.64,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.68,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.72,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.76,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.8,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.84,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.88,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.92,inf,inf,inf,inf,inf,inf,inf,inf
64,0.12,0.96,inf,inf,inf,inf,inf,inf,inf,inf
64,0.16,0.04,3174.4,inf,inf,4684.8,inf,inf,inf,inf
