h,p_best_rate,popsize,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
18,0.64,64,1056,5472,5798.4,1465.6,22924.8,10304,7836.8003,5851.734
14,0.64,64,998.4,5222.4,5344,1465.6,23628.8,10368,7837.8667,6107.022
21,0.56,64,1126.4,5452.8,5446.4,1536,22483.2,10982.4,7837.8657,5929.955
20,0.72,64,1094.4,5420.8,5254.4,1561.6,23232,10483.2,7841.0664,6011.022
16,0.39999998,64,1036.8,5868.8,5952,1497.6,21971.2,10726.4,7842.133,5671.111
20,0.92,64,1011.2,5286.4,5491.2,1459.2,23584,10220.8,7842.1333,6040.1777
20,0.6,64,1049.6,5440,5504,1497.6,23411.2,10156.8,7843.1997,5960.533
20,0.43999997,64,1043.2,5670.4,5721.6,1593.6,22150.4,10886.4,7844.267,5782.756
23,0.43999997,64,1030.4,5747.2,5542.4,1523.2,21683.2,11545.6,7845.3335,5846.0444
24,0.8,64,1062.4,5164.8,5100.8,1516.8,23513.6,10713.6,7845.3335,6178.8438
23,0.96,64,998.4,5011.2,5164.8,1523.2,24627.2,9772.8,7849.6,6233.5996
15,0.68,64,1049.6,5452.8,5344,1478.4,24179.2,9600,7850.6665,6025.955
18,0.8,64,1062.4,5337.6,5203.2,1491.2,24006.4,10003.2,7850.6665,6102.756
20,0.56,64,1049.6,5510.4,5427.2,1472,22982.4,10675.2,7852.8003,5984
20,1,64,1088,5312,4896,1568,24492.8,9779.2,7856,6186.6665
18,0.76,64,1036.8,5164.8,5062.4,1529.6,24268.8,10080,7857.0664,6211.555
24,0.52,64,1075.2,5843.2,5523.2,1510.4,22214.4,11014.4,7863.4673,5833.9565
21,0.68,64,1056,5510.4,5324.8,1510.4,23436.8,10348.8,7864.533,6018.844
21,0.8,64,1100.8,5075.2,5369.6,1523.2,24019.2,10099.2,7864.533,6129.778
21,1,64,992,5036.8,5113.6,1491.2,24883.2,9670.4,7864.5337,6274.845
17,0.43999997,64,1036.8,5427.2,5792,1491.2,22400,11046.4,7865.6,5905.0664
22,0.76,64,1100.8,5292.8,5292.8,1504,23820.8,10259.2,7878.4,6107.734
21,0.84,64,1049.6,5068.8,5369.6,1529.6,23622.4,10636.8,7879.467,6166.756
19,0.39999998,64,1056,6041.6,5753.6,1472,21689.6,11302.4,7885.867,5740.0894
21,0.52,64,1062.4,5792,6041.6,1516.8,22361.6,10540.8,7885.8667,5710.222
15,0.64,64,992,5068.8,5670.4,1420.8,23910.4,10272,7889.0664,6134.756
15,0.6,64,1030.4,5497.6,5465.6,1491.2,23859.2,10022.4,7894.4,6030.9336
15,0.76,64,1062.4,5324.8,5216,1484.8,24544,9772.8,7900.8003,6171.733
15,0.8,64,1088,4825.6,5241.6,1459.2,24979.2,9811.2,7900.8003,6329.5996
18,0.43999997,64,1100.8,5728,5734.4,1516.8,22118.4,11206.4,7900.7993,5841.0664
12,0.64,64,1056,5420.8,5657.6,1414.4,24019.2,9868.8,7906.1333,6025.2446
19,1,64,1068.8,4838.4,5004.8,1542.4,25529.6,9452.8,7906.1333,6390.045
21,0.32,64,1075.2,5971.2,6156.8,1568,21068.8,11609.6,7908.267,5620.6226
17,0.76,64,1056,5273.6,5504,1433.6,23846.4,10368,7913.6,6129.0664
22,0.48,64,1017.6,5740.8,5689.6,1504,22131.2,11398.4,7913.6,5900.8003
17,0.88,64,1120,5280,5132.8,1465.6,24633.6,9856,7914.6665,6220.0884
19,0.56,64,1043.2,5222.4,5536,1504,23200,10982.4,7914.6665,6117.689
20,0.84,64,1024,5088,5286.4,1568,24716.8,9804.8,7914.6675,6230.756
22,0.52,64,1062.4,5945.6,5785.6,1561.6,22489.6,10649.6,7915.733,5769.244
22,0.8,64,1049.6,5337.6,5459.2,1484.8,23507.2,10656,7915.733,6110.5767
23,0.88,64,992,5388.8,5075.2,1561.6,24179.2,10310.4,7917.8657,6217.955
22,0.92,64,1011.2,5152,5248,1555.2,24262.4,10284.8,7918.9336,6236.445
16,0.64,64,1011.2,5600,5651.2,1484.8,23603.2,10176,7921.0664,5979.022
13,0.56,64,985.6,5177.6,5433.6,1446.4,23648,10848,7923.2007,6216.533
15,0.72,64,1075.2,5344,5350.4,1459.2,24614.4,9696,7923.1997,6154.6675
14,0.39999998,64,1100.8,5881.6,5676.8,1433.6,22803.2,10681.6,7929.6,5875.1997
16,0.35999998,64,1056,5683.2,5721.6,1529.6,21920,11667.2,7929.5996,5909.3335
19,0.8,64,1004.8,5465.6,5030.4,1529.6,24345.6,10201.6,7929.6,6229.3335
16,0.48,64,1088,5516.8,5331.2,1497.6,23033.6,11116.8,7930.6665,6096.3555
16,0.72,64,1030.4,5177.6,5235.2,1478.4,24460.8,10208,7931.734,6268.445
18,0.48,64,1062.4,5664,5491.2,1459.2,22803.2,11116.8,7932.8003,6018.1333
16,0.84,64,1017.6,5107.2,5299.2,1465.6,24921.6,9811.2,7937.0664,6286.221
15,0.56,64,1062.4,5267.2,5536,1472,23776,10528,7940.267,6141.1563
10,0.88,64,1017.6,4979.2,4985.6,1356.8,25830.4,9491.2,7943.467,6478.2227
24,0.28,64,1094.4,6137.6,6240,1542.4,20979.2,11680,7945.6,5589.3335
12,0.52,64,1030.4,5216,5369.6,1388.8,24614.4,10060.8,7946.6665,6260.6226
16,0.96,64,1107.2,5049.6,4992,1491.2,24940.8,10105.6,7947.733,6383.6445
24,0.88,64,1024,5433.6,5145.6,1452.8,24460.8,10176,7948.8003,6246.4
15,0.39999998,64,1075.2,5907.2,5900.8,1440,22323.2,11052.8,7949.8667,5825.422
19,0.92,64,1049.6,5318.4,5228.8,1465.6,24748.8,9888,7949.8667,6245.689
17,0.84,64,1017.6,5350.4,5625.6,1465.6,24224,10022.4,7950.9336,6114.845
14,0.92,64,1081.6,5209.6,5164.8,1497.6,25446.4,9318.4,7953.0664,6286.2227
13,0.96,64,1036.8,5177.6,5190.4,1440,25894.4,8985.6,7954.1343,6323.9106
13,0.64,64,1049.6,5625.6,5568,1427.2,24537.6,9523.2,7955.1997,6050.133
15,0.52,64,972.8,5740.8,5696,1452.8,23180.8,10688,7955.1997,5986.1333
12,0.48,64,1107.2,5606.4,5337.6,1414.4,23635.2,10662.4,7960.5327,6125.5103
22,0.35999998,64,1056,5760,5958.4,1472,22188.8,11334.4,7961.6,5866.6665
14,1,64,1004.8,4947.2,5171.2,1472,25344,9856,7965.8667,6422.7554
23,0.23999998,64,1024,6041.6,6374.4,1542.4,20646.4,12166.4,7965.867,5627.022
15,0.84,64,1011.2,5350.4,5536,1446.4,24761.6,9702.4,7968,6176
15,0.96,64,1068.8,5017.6,4838.4,1491.2,26208,9184,7968,6485.3335
21,0.43999997,64,1056,5606.4,5881.6,1510.4,22387.2,11385.6,7971.2007,5943.467
16,0.88,64,1024,5459.2,5267.2,1433.6,25068.8,9580.8,7972.267,6235.022
14,0.6,64,998.4,5734.4,5497.6,1465.6,24025.6,10124.8,7974.4004,6067.1997
16,0.8,64,1062.4,5286.4,5107.2,1491.2,24921.6,9977.6,7974.4,6316.7993
12,0.6,64,1024,5657.6,5427.2,1472,24544,9728,7975.467,6107.022
15,0.92,64,1043.2,5171.2,5139.2,1459.2,24928,10118.4,7976.5337,6364.4453
20,0.76,64,1036.8,5286.4,5414.4,1555.2,24217.6,10348.8,7976.533,6204.444
22,1,64,1062.4,5542.4,5363.2,1497.6,24345.6,10054.4,7977.6,6148.267
10,0.64,64,1036.8,5484.8,5369.6,1401.6,24864,9715.2,7978.666,6207.289
14,0.52,64,1017.6,5740.8,5516.8,1497.6,23872,10227.2,7978.666,6047.2886
18,0.52,64,1068.8,5561.6,5664,1529.6,23545.6,10502.4,7978.6665,6030.2227
11,0.43999997,64,998.4,5529.6,5427.2,1427.2,23334.4,11161.6,7979.733,6178.844
12,0.96,64,998.4,4793.6,4998.4,1420.8,26323.2,9350.4,7980.7993,6570.6665
14,0.35999998,64,1024,5900.8,5779.2,1536,22342.4,11308.8,7981.8667,5895.8223
16,0.92,64,1056,4896,5222.4,1465.6,25414.4,9836.8,7981.8667,6429.156
21,0.39999998,64,1049.6,5952,5772.8,1510.4,22348.8,11283.2,7986.1333,5886.578
18,0.96,64,1030.4,5350.4,5203.2,1504,24966.4,9881.6,7989.3335,6289.7773
14,0.84,64,1049.6,5196.8,5388.8,1420.8,24947.2,9945.6,7991.4663,6303.2886
14,0.68,64,1011.2,5510.4,5465.6,1395.2,25075.2,9510.4,7994.6665,6198.7554
14,0.88,64,992,5299.2,5414.4,1446.4,24806.4,10016,7995.733,6276.978
12,0.28,64,1030.4,6016,5734.4,1472,22323.2,11404.8,7996.8003,5911.467
11,0.56,64,1030.4,5305.6,5632,1440,24448,10137.6,7998.9336,6195.9116
15,0.28,64,1062.4,6048,5849.6,1523.2,22022.4,11507.2,8002.1333,5841.778
12,0.39999998,64,1056,5670.4,5555.2,1446.4,23238.4,11059.2,8004.266,6096.356
22,0.32,64,1056,5913.6,6060.8,1516.8,21772.8,11705.6,8004.267,5823.289
12,0.84,64,1011.2,4691.2,5305.6,1440,25868.8,9715.2,8005.3335,6524.445
17,0.92,64,1081.6,5196.8,5081.6,1491.2,25408,9785.6,8007.4663,6392.8887
17,1,64,1081.6,5164.8,5248,1523.2,25248,9792,8009.6,6340.267
11,0.96,64,1011.2,4870.4,5017.6,1433.6,26393.6,9337.6,8010.6665,6569.955
17,0.52,64,1081.6,5664,5657.6,1510.4,23392,10758.4,8010.6665,6043.022
19,0.35999998,64,1062.4,6118.4,5779.2,1452.8,21958.4,11718.4,8014.9336,5882.311
24,1,64,1081.6,5171.2,4992,1516.8,24838.4,10496,8016,6434.133
7,0.76,64,966.4,5062.4,5011.2,1331.2,26195.2,9548.8,8019.1997,6568.5337
13,0.48,64,1094.4,5465.6,5881.6,1452.8,23552,10675.2,8020.266,6062.222
21,0.23999998,64,1056,6176,6272,1478.4,21139.2,12000,8020.267,5699.555
13,0.8,64,940.8,5318.4,5113.6,1433.6,25171.2,10150.4,8021.3335,6426.3105
18,1,64,1043.2,5145.6,5075.2,1478.4,25958.4,9427.2,8021.3335,6447.6445
22,0.28,64,1017.6,6035.2,5996.8,1516.8,22028.8,11532.8,8021.3335,5839.6445
20,0.8,64,1036.8,5356.8,5164.8,1516.8,24889.6,10176,8023.4663,6339.555
13,0.39999998,64,1094.4,5785.6,5625.6,1465.6,23411.2,10771.2,8025.5996,6043.733
13,0.68,64,1049.6,5664,5158.4,1440,24627.2,10214.4,8025.6,6263.467
13,0.6,64,1036.8,5408,5260.8,1510.4,24960,9984,8026.6665,6296.8887
24,0.23999998,64,1062.4,6163.2,6630.4,1587.2,20768,11948.8,8026.6665,5554.489
12,0.72,64,1011.2,5292.8,5651.2,1382.4,25017.6,9817.6,8028.7993,6259.1997
14,0.43999997,64,1024,5382.4,5638.4,1446.4,24326.4,10380.8,8033.067,6213.6895
7,0.52,64,966.4,5260.8,5292.8,1382.4,25267.2,10035.2,8034.1333,6411.3774
9,0.6,64,1004.8,5318.4,5107.2,1433.6,25184,10163.2,8035.1997,6425.6
