popsize,self_instead_neighbour,sigma,forest,hilly,mean,mad
64,0.24,0.92,inf,inf,inf,inf
64,0.24,0.96,inf,inf,inf,inf
64,0.28,0.04,inf,inf,inf,inf
64,0.28,0.08,inf,inf,inf,inf
64,0.28,0.12,inf,inf,inf,inf
64,0.28,0.16,inf,inf,inf,inf
64,0.28,0.19999999,inf,inf,inf,inf
64,0.28,0.23999998,inf,inf,inf,inf
64,0.28,0.28,inf,inf,inf,inf
64,0.28,0.32,inf,inf,inf,inf
64,0.28,0.35999998,inf,inf,inf,inf
64,0.28,0.39999998,inf,inf,inf,inf
64,0.28,0.43999997,inf,inf,inf,inf
64,0.28,0.48,inf,inf,inf,inf
64,0.28,0.52,inf,inf,inf,inf
64,0.28,0.56,212883.2,inf,inf,inf
64,0.28,0.6,369139.2,inf,inf,inf
64,0.28,0.64,inf,inf,inf,inf
64,0.28,0.68,inf,inf,inf,inf
64,0.28,0.72,inf,inf,inf,inf
64,0.28,0.76,inf,inf,inf,inf
64,0.28,0.8,inf,inf,inf,inf
64,0.28,0.84,inf,inf,inf,inf
64,0.28,0.88,inf,inf,inf,inf
64,0.28,0.92,inf,inf,inf,inf
64,0.28,0.96,inf,inf,inf,inf
64,0.32,0.04,inf,inf,inf,inf
64,0.32,0.08,inf,inf,inf,inf
64,0.32,0.12,inf,inf,inf,inf
64,0.32,0.16,inf,inf,inf,inf
64,0.32,0.19999999,inf,inf,inf,inf
64,0.32,0.23999998,inf,inf,inf,inf
64,0.32,0.28,inf,inf,inf,inf
64,0.32,0.32,inf,inf,inf,inf
64,0.32,0.35999998,inf,inf,inf,inf
64,0.32,0.39999998,inf,inf,inf,inf
64,0.32,0.43999997,inf,inf,inf,inf
64,0.32,0.48,inf,inf,inf,inf
64,0.32,0.52,133683.2,inf,inf,inf
64,0.32,0.56,214624,inf,inf,inf
64,0.32,0.6,360454.4,inf,inf,inf
64,0.32,0.64,inf,inf,inf,inf
64,0.32,0.68,inf,inf,inf,inf
64,0.32,0.72,inf,inf,inf,inf
64,0.32,0.76,inf,inf,inf,inf
64,0.32,0.8,inf,inf,inf,inf
64,0.32,0.84,inf,inf,inf,inf
64,0.32,0.88,inf,inf,inf,inf
64,0.32,0.92,inf,inf,inf,inf
64,0.32,0.96,inf,inf,inf,inf
64,0.35999998,0.04,inf,inf,inf,inf
64,0.35999998,0.08,inf,inf,inf,inf
64,0.35999998,0.12,inf,inf,inf,inf
64,0.35999998,0.16,inf,inf,inf,inf
64,0.35999998,0.19999999,inf,inf,inf,inf
64,0.35999998,0.23999998,inf,inf,inf,inf
64,0.35999998,0.28,inf,inf,inf,inf
64,0.35999998,0.32,inf,inf,inf,inf
64,0.35999998,0.35999998,inf,inf,inf,inf
64,0.35999998,0.39999998,inf,inf,inf,inf
64,0.35999998,0.43999997,inf,inf,inf,inf
64,0.35999998,0.48,inf,inf,inf,inf
64,0.35999998,0.52,inf,inf,inf,inf
64,0.35999998,0.6,371609.6,inf,inf,inf
64,0.35999998,0.64,inf,inf,inf,inf
64,0.35999998,0.68,inf,inf,inf,inf
64,0.35999998,0.72,inf,inf,inf,inf
64,0.35999998,0.76,inf,inf,inf,inf
64,0.35999998,0.8,inf,inf,inf,inf
64,0.35999998,0.84,inf,inf,inf,inf
64,0.35999998,0.88,inf,inf,inf,inf
64,0.35999998,0.92,inf,inf,inf,inf
64,0.35999998,0.96,inf,inf,inf,inf
64,0.39999998,0.04,inf,inf,inf,inf
64,0.39999998,0.08,inf,inf,inf,inf
64,0.39999998,0.12,inf,inf,inf,inf
64,0.39999998,0.16,inf,inf,inf,inf
64,0.39999998,0.19999999,inf,inf,inf,inf
64,0.39999998,0.23999998,inf,inf,inf,inf
64,0.39999998,0.28,inf,inf,inf,inf
64,0.39999998,0.32,inf,inf,inf,inf
64,0.39999998,0.35999998,inf,inf,inf,inf
64,0.39999998,0.39999998,inf,inf,inf,inf
64,0.39999998,0.43999997,65452.8,inf,inf,inf
64,0.39999998,0.48,inf,inf,inf,inf
64,0.39999998,0.52,135980.8,inf,inf,inf
64,0.39999998,0.6,364128,inf,inf,inf
64,0.39999998,0.64,inf,inf,inf,inf
