popsize,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
64,0.00000001,0.12,0.32,876.8,2419.2,2438.4,1484.8,3628.8,4595.2,2573.8667,1025.4222
64,0.00000001,0.64,0.12,851.2,2713.6,2656,1497.6,3590.4,4134.4,2573.8665,932.97784
64,0.00000001,0.19999999,0.32,876.8,2489.6,2457.6,1478.4,3724.8,4454.4,2580.2666,1006.2221
64,0.00000001,0.64,0.08,819.2,2688,2694.4,1568,3699.2,4224,2615.4666,947.91113
64,0.00000001,0.16,0.32,889.6,2598.4,2483.2,1580.8,3667.2,4486.4,2617.5999,972.8
64,0.00000001,0.24,0.32,902.4,2566.4,2521.6,1529.6,3795.2,4556.8,2645.3333,1020.44434
64,0.00000001,0.64,0.19999999,896,2739.2,2758.4,1561.6,3680,4281.6,2652.7998,949.33344
64,0.00000001,0.48,0.28,896,2540.8,2579.2,1683.2,3756.8,4505.6,2660.2666,980.62225
64,0.00000001,0.59999996,0.23999998,889.6,2713.6,2726.4,1529.6,3769.6,4332.8,2660.2668,967.111
64,0.00000001,0.28,0.32,857.6,2598.4,2553.6,1484.8,3840,4678.4,2668.8,1060.2666
64,0.00000001,0.68,0.12,851.2,2720,2841.6,1587.2,3724.8,4313.6,2673.0667,969.24445
64,0.00000001,0.64,0.04,838.4,2905.6,2758.4,1452.8,3737.6,4358.4,2675.2002,1019.73334
64,0.00000001,0.68,0.16,812.8,2796.8,2739.2,1632,3795.2,4352,2688,977.06665
64,0.00000001,0.32,0.32,838.4,2707.2,2560,1619.2,3820.8,4742.4,2714.6667,1044.6222
64,0.00000001,0.52,0.28,876.8,2688,2720,1664,3891.2,4486.4,2721.0667,978.4888
64,0.00000001,0.35999998,0.32,896,2739.2,2604.8,1484.8,3916.8,4723.2,2727.4666,1065.6
64,0.00000001,0.68,0.19999999,857.6,2822.4,2848,1619.2,3833.6,4396.8,2729.6,994.13324
64,0.00000001,0.68,0.08,889.6,2822.4,2976,1484.8,3827.2,4396.8,2732.8,1030.3999
64,0.00000001,0.56,0.28,876.8,2752,2784,1676.8,3910.4,4608,2768,999.4666
64,0.00000001,0.68,0.04,864,3078.4,2880,1472,3737.6,4576,2768,1066.6666
64,0.00000001,0.64,0.23999998,934.4,2764.8,2918.4,1676.8,3852.8,4563.2,2785.0667,993.0667
64,0.00000001,0.39999998,0.32,889.6,2675.2,2771.2,1593.6,4140.8,4812.8,2813.8665,1108.6222
64,0.00000001,0.59999996,0.28,902.4,2848,2828.8,1740.8,4000,4633.6,2825.5999,1002.6667
64,0.00000001,0.44,0.32,1049.6,2777.6,2694.4,1625.6,3987.2,4838.4,2828.8,1056
64,0.00000001,0.71999997,0.12,1011.2,2944,2963.2,1702.4,4019.2,4537.6,2862.9333,1004.08887
64,0.00000001,0,0.35999998,902.4,2636.8,2662.4,1555.2,4198.4,5331.2,2881.0664,1255.8221
64,0.00000001,0.68,0.23999998,896,3020.8,2931.2,1715.2,3980.8,4806.4,2891.7334,1057.4222
64,0.00000001,0.71999997,0.16,1004.8,3008,3046.4,1772.8,4012.8,4678.4,2920.5332,1021.1555
64,0.00000001,0.71999997,0.19999999,985.6,2944,3110.4,1651.2,4147.2,4723.2,2926.9336,1072.3555
64,0.00000001,0.04,0.35999998,979.2,2796.8,2707.2,1593.6,4166.4,5331.2,2929.0667,1213.1556
64,0.00000001,0.48,0.32,934.4,2860.8,2835.2,1798.4,4153.6,5049.6,2938.6667,1108.6222
64,0.00000001,0.71999997,0.08,940.8,3078.4,3110.4,1696,4115.2,4704,2940.8,1081.6
64,0.00000001,0.16,0.35999998,889.6,2758.4,2796.8,1632,4268.8,5459.2,2967.4668,1264.3556
64,0.00000001,0.64,0.28,1030.4,2854.4,2924.8,1811.2,4211.2,5024,2976,1094.4
64,0.00000001,0.12,0.35999998,940.8,2777.6,2694.4,1625.6,4320,5516.8,2979.2,1292.7999
64,0.00000001,0.08,0.35999998,953.6,2764.8,2790.4,1715.2,4371.2,5305.6,2983.4668,1236.6223
64,0.00000001,0.71999997,0.04,953.6,3072,3110.4,1644.8,4262.4,4864,2984.5332,1123.5555
64,0.00000001,0.56,0.32,851.2,2969.6,2944,1785.6,4326.4,5184,3010.133,1163.3778
64,0.00000001,0.52,0.32,934.4,2995.2,2988.8,1740.8,4268.8,5139.2,3011.2,1128.5332
64,0.00000001,0.76,0.12,992,3212.8,3155.2,1753.6,4204.8,4851.2,3028.2666,1103.6444
64,0.00000001,0.71999997,0.23999998,979.2,3040,3078.4,1728,4403.2,4979.2,3034.6667,1120.711
64,0.00000001,0.76,0.08,953.6,3212.8,3187.2,1734.4,4300.8,4883.2,3045.3333,1134.2223
64,0.00000001,0.76,0.16,1030.4,3212.8,3180.8,1702.4,4192,4998.4,3052.8,1124.2666
64,0.00000001,0.68,0.28,902.4,3123.2,3187.2,1824,4345.6,4992,3062.4001,1132.7999
64,0.00000001,0.76,0.19999999,1075.2,3212.8,3148.8,1721.6,4377.6,4870.4,3067.7334,1112.8889
64,0.00000001,0.24,0.35999998,998.4,2956.8,2764.8,1785.6,4409.6,5574.4,3081.5999,1273.6
64,0.00000001,0.19999999,0.35999998,985.6,2950.4,2880,1600,4512,5568,3082.6667,1304.889
64,0.00000001,0.59999996,0.32,940.8,3033.6,3091.2,1734.4,4473.6,5331.2,3100.8,1201.0668
64,0.00000001,0.35999998,0.35999998,819.2,2963.2,3008,1651.2,4684.8,5740.8,3144.5332,1378.8444
64,0.00000001,0.76,0.04,992,3251.2,3315.2,1651.2,4544,5152,3150.9336,1219.5555
64,0.00000001,0.28,0.35999998,1030.4,2912,2976,1766.4,4620.8,5619.2,3154.1335,1310.5778
64,0.00000001,0.76,0.23999998,1017.6,3296,3168,1747.2,4582.4,5267.2,3179.7332,1202.1333
64,0.00000001,0.32,0.35999998,1004.8,2912,2937.6,1843.2,4601.6,5849.6,3191.4668,1356.089
64,0.00000001,0.39999998,0.35999998,992,3008,3097.6,1817.6,4569.6,5721.6,3201.0667,1296.3555
64,0.00000001,0.64,0.32,992,3161.6,3168,1817.6,4595.2,5561.6,3216,1241.6
64,0.00000001,0.44,0.35999998,1088,3059.2,3072,1619.2,4640,5862.4,3223.4668,1351.8223
64,0.00000001,0.71999997,0.28,1017.6,3283.2,3360,1900.8,4576,5420.8,3259.7332,1200.3556
64,0.00000001,0.79999995,0.12,1132.8,3321.6,3424,1881.6,4550.4,5254.4,3260.8,1169.0665
64,0.00000001,0.79999995,0.16,1094.4,3456,3430.4,1817.6,4652.8,5235.2,3281.0664,1216.7112
64,0.00000001,0.79999995,0.08,1158.4,3494.4,3360,1875.2,4652.8,5248,3298.1335,1187.5553
64,0.00000001,0.79999995,0.19999999,1094.4,3392,3436.8,1888,4633.6,5369.6,3302.4001,1207.4667
64,0.00000001,0.68,0.32,1075.2,3193.6,3328,1888,4761.6,5593.6,3306.6667,1254.4
64,0.00000001,0.48,0.35999998,1062.4,3193.6,3168,1939.2,4774.4,5900.8,3339.7332,1331.911
64,0.00000001,0.79999995,0.04,1132.8,3513.6,3296,1830.4,4851.2,5465.6,3348.2668,1261.8667
64,0.00000001,0.52,0.35999998,972.8,3174.4,3161.6,2118.4,4774.4,5939.2,3356.8,1333.3334
64,0.00000001,0.76,0.28,1120,3417.6,3430.4,2022.4,4851.2,5632,3412.2668,1227.3778
64,0.00000001,0.79999995,0.23999998,1088,3443.2,3488,1958.4,4972.8,5542.4,3415.4668,1261.511
64,0.00000001,0.56,0.35999998,1049.6,3321.6,3302.4,1920,4832,6131.2,3426.1335,1370.3112
64,0.00000001,0.59999996,0.35999998,1068.8,3302.4,3302.4,1920,5011.2,6131.2,3456,1410.1334
64,0.00000001,0,0.39999998,1107.2,3155.2,3084.8,1824,4998.4,6796.8,3494.3997,1602.1332
64,0.00000001,0.71999997,0.32,1132.8,3558.4,3513.6,1984,5024,5862.4,3512.5334,1302.7555
64,0.00000001,0.08,0.39999998,1081.6,3206.4,3174.4,1836.8,4998.4,6995.2,3548.8,1632.0001
64,0.00000001,0.84,0.12,1107.2,3756.8,3596.8,2144,5094.4,5792,3581.8665,1304.1779
64,0.00000001,0.12,0.39999998,1024,3251.2,3155.2,1926.4,5280,6899.2,3589.3333,1666.8446
64,0.00000001,0.04,0.39999998,1132.8,3136,3123.2,1952,5209.6,6988.8,3590.3997,1672.5332
64,0.00000001,0.84,0.16,1145.6,3692.8,3756.8,2016,5145.6,5862.4,3603.2002,1348.2666
64,0.00000001,0.64,0.35999998,1241.6,3475.2,3494.4,1977.6,5203.2,6336,3621.3333,1432.1779
64,0.00000001,0.84,0.08,1081.6,3859.2,3718.4,2112,5139.2,5939.2,3641.5999,1363.2002
64,0.00000001,0.68,0.35999998,1120,3628.8,3462.4,2009.6,5280,6412.8,3652.2664,1462.7554
64,0.00000001,0.79999995,0.28,1126.4,3808,3628.8,2041.6,5305.6,6028.8,3656.5332,1390.9332
64,0.00000001,0.76,0.32,1113.6,3731.2,3584,2118.4,5209.6,6227.2,3664,1392
64,0.00000001,0.16,0.39999998,1145.6,3155.2,3283.2,2022.4,5382.4,7040,3671.4668,1693.1556
64,0.00000001,0.84,0.19999999,1139.2,3846.4,3756.8,2112,5254.4,5977.6,3681.0664,1370.3112
64,0.00000001,0.19999999,0.39999998,1126.4,3366.4,3328,2009.6,5363.2,6976,3694.9333,1649.7778
64,0.00000001,0.84,0.04,1100.8,3865.6,3827.2,2124.8,5139.2,6118.4,3696,1388.8002
64,0.00000001,0.24,0.39999998,1081.6,3334.4,3366.4,2214.4,5433.6,7078.4,3751.4668,1669.689
64,0.00000001,0.84,0.23999998,1222.4,3724.8,3859.2,2131.2,5478.4,6323.2,3789.8665,1430.4
64,0.00000001,0.35999998,0.39999998,1152,3488,3334.4,2144,5491.2,7161.6,3795.2002,1687.4668
64,0.00000001,0.28,0.39999998,1113.6,3308.8,3372.8,2105.6,5446.4,7443.2,3798.4004,1764.2667
64,0.00000001,0.79999995,0.32,1177.6,3763.2,3865.6,2310.4,5363.2,6432,3818.6667,1401.6001
64,0.00000001,0.48,0.39999998,1049.6,3680,3571.2,2028.8,5619.2,7033.6,3830.4001,1664.0001
64,0.00000001,0.39999998,0.39999998,1152,3353.6,3526.4,1888,5657.6,7436.8,3835.7332,1807.6444
64,0.00000001,0.32,0.39999998,1139.2,3417.6,3500.8,2208,5440,7328,3838.9333,1696.711
64,0.00000001,0.71999997,0.35999998,1171.2,3686.4,3692.8,2188.8,5696,6745.6,3863.4666,1571.5555
64,0.00000001,0.44,0.39999998,1139.2,3526.4,3571.2,2188.8,5536,7321.6,3880.5332,1698.8444
64,0.00000001,0.52,0.39999998,1190.4,3603.2,3552,2156.8,5798.4,7328,3938.133,1750.0443
64,0.00000001,0.76,0.35999998,1171.2,3891.2,3936,2163.2,5676.8,6860.8,3949.8665,1545.9556
64,0.00000001,0.84,0.28,1209.6,4012.8,4064,2176,5657.6,6585.6,3950.9333,1505.4224
64,0.00000001,0.59999996,0.39999998,1132.8,3712,3654.4,2284.8,5913.6,7360,4009.5999,1751.4667
64,0.00000001,0.88,0.12,1273.6,4281.6,4160,2220.8,5785.6,6694.4,4069.3333,1548.0889
64,0.00000001,0.56,0.39999998,1312,3622.4,3712,2457.6,5862.4,7507.2,4078.9336,1737.2445
64,0.00000001,0.88,0.16,1305.6,4172.8,4192,2355.2,5856,6604.8,4081.0671,1500.4442
64,0.00000001,0.88,0.08,1286.4,4198.4,4230.4,2336,5868.8,6668.8,4098.1333,1524.6221
