h,p_best_rate,popsize,shubert,mean,mad
18,0.16,64,42124.8,42124.8,0
1,0.68,64,42137.6,42137.6,0
8,0.16,64,42144,42144,0
8,0.39999998,64,42144,42144,0
9,0.43999997,64,42144,42144,0
21,0.23999998,64,42144,42144,0
9,1,64,42150.4,42150.4,0
12,0.68,64,42150.4,42150.4,0
13,0.48,64,42156.8,42156.8,0
14,0.56,64,42156.8,42156.8,0
17,0.6,64,42156.8,42156.8,0
22,0.64,64,42156.8,42156.8,0
2,0.56,64,42163.2,42163.2,0
7,0.35999998,64,42163.2,42163.2,0
10,0.43999997,64,42163.2,42163.2,0
10,0.28,64,42176,42176,0
5,0.84,64,42195.2,42195.2,0
7,0.92,64,42195.2,42195.2,0
21,0.64,64,42208,42208,0
9,0.32,64,42227.2,42227.2,0
16,0.08,64,42240,42240,0
8,0.23999998,64,42252.8,42252.8,0
10,0.64,64,42252.8,42252.8,0
20,0.19999999,64,42259.2,42259.2,0
7,0.8,64,42265.6,42265.6,0
22,0.16,64,42265.6,42265.6,0
14,0.52,64,42272,42272,0
9,0.52,64,42284.8,42284.8,0
13,0.32,64,42284.8,42284.8,0
21,0.16,64,42291.2,42291.2,0
23,0.12,64,42297.6,42297.6,0
14,0.8,64,42310.4,42310.4,0
19,0.6,64,42310.4,42310.4,0
8,0.64,64,42316.8,42316.8,0
11,0.52,64,42316.8,42316.8,0
1,0.12,64,42323.2,42323.2,0
20,0.23999998,64,42323.2,42323.2,0
2,0.64,64,42329.6,42329.6,0
21,0.12,64,42329.6,42329.6,0
24,0.12,64,42336,42336,0
9,0.88,64,42361.6,42361.6,0
5,0.96,64,42380.8,42380.8,0
23,0.23999998,64,42380.8,42380.8,0
24,0.16,64,42387.2,42387.2,0
1,0.96,64,42406.4,42406.4,0
4,0.56,64,42406.4,42406.4,0
14,0.32,64,42406.4,42406.4,0
17,0.35999998,64,42412.8,42412.8,0
12,0.64,64,42425.6,42425.6,0
18,0.28,64,42425.6,42425.6,0
8,0.28,64,42438.4,42438.4,0
12,0.76,64,42451.2,42451.2,0
13,0.8,64,42451.2,42451.2,0
14,0.48,64,42451.2,42451.2,0
3,0.92,64,42457.6,42457.6,0
6,0.19999999,64,42470.4,42470.4,0
13,1,64,42470.4,42470.4,0
14,0.39999998,64,42470.4,42470.4,0
2,0.6,64,42476.8,42476.8,0
9,0.35999998,64,42476.8,42476.8,0
24,0.8,64,42483.2,42483.2,0
22,0.19999999,64,42496,42496,0
2,0.88,64,42515.2,42515.2,0
1,0.28,64,42528,42528,0
3,0.72,64,42528,42528,0
16,0.43999997,64,42528,42528,0
6,0.6,64,42547.2,42547.2,0
13,0.68,64,42547.2,42547.2,0
6,0.92,64,42553.6,42553.6,0
7,0.64,64,42553.6,42553.6,0
18,0.56,64,42560,42560,0
6,0.52,64,42566.4,42566.4,0
23,0.28,64,42566.4,42566.4,0
16,0.32,64,42572.8,42572.8,0
16,0.84,64,42579.2,42579.2,0
2,0.19999999,64,42585.6,42585.6,0
12,0.6,64,42585.6,42585.6,0
2,0.92,64,42598.4,42598.4,0
6,0.56,64,42598.4,42598.4,0
11,0.96,64,42604.8,42604.8,0
11,0.23999998,64,42611.2,42611.2,0
5,0.16,64,42624,42624,0
11,0.8,64,42636.8,42636.8,0
23,0.76,64,42636.8,42636.8,0
10,0.88,64,42643.2,42643.2,0
6,0.76,64,42656,42656,0
12,0.84,64,42656,42656,0
2,0.35999998,64,42675.2,42675.2,0
2,0.52,64,42675.2,42675.2,0
9,0.72,64,42675.2,42675.2,0
19,0.68,64,42688,42688,0
13,0.64,64,42694.4,42694.4,0
20,0.39999998,64,42694.4,42694.4,0
16,0.16,64,42713.6,42713.6,0
24,0.64,64,42720,42720,0
2,0.96,64,42726.4,42726.4,0
16,0.39999998,64,42726.4,42726.4,0
22,0.48,64,42732.8,42732.8,0
23,0.72,64,42732.8,42732.8,0
23,0.52,64,42752,42752,0
1,0.19999999,64,42758.4,42758.4,0
6,0.84,64,42758.4,42758.4,0
14,0.64,64,42758.4,42758.4,0
20,1,64,42758.4,42758.4,0
8,0.19999999,64,42777.6,42777.6,0
11,1,64,42784,42784,0
12,0.28,64,42784,42784,0
3,0.84,64,42790.4,42790.4,0
19,0.23999998,64,42790.4,42790.4,0
6,0.43999997,64,42803.2,42803.2,0
17,0.84,64,42816,42816,0
19,0.08,64,42816,42816,0
22,0.6,64,42822.4,42822.4,0
23,0.35999998,64,42822.4,42822.4,0
5,0.92,64,42828.8,42828.8,0
1,0.88,64,42835.2,42835.2,0
21,0.43999997,64,42841.6,42841.6,0
24,0.28,64,42841.6,42841.6,0
15,1,64,42848,42848,0
21,0.52,64,42848,42848,0
19,0.39999998,64,42854.4,42854.4,0
2,0.68,64,42860.8,42860.8,0
3,0.43999997,64,42860.8,42860.8,0
17,0.19999999,64,42860.8,42860.8,0
17,0.32,64,42860.8,42860.8,0
4,0.52,64,42867.2,42867.2,0
8,0.32,64,42867.2,42867.2,0
4,0.96,64,42873.6,42873.6,0
19,0.72,64,42873.6,42873.6,0
22,0.08,64,42886.4,42886.4,0
7,0.56,64,42892.8,42892.8,0
17,0.23999998,64,42912,42912,0
21,0.88,64,42912,42912,0
12,0.92,64,42918.4,42918.4,0
7,0.72,64,42924.8,42924.8,0
16,1,64,42924.8,42924.8,0
13,0.52,64,42931.2,42931.2,0
10,0.72,64,42944,42944,0
16,0.6,64,42956.8,42956.8,0
21,0.48,64,42956.8,42956.8,0
9,0.64,64,42963.2,42963.2,0
10,0.96,64,42963.2,42963.2,0
15,0.56,64,42963.2,42963.2,0
23,0.43999997,64,42963.2,42963.2,0
12,0.72,64,42969.6,42969.6,0
20,0.56,64,42976,42976,0
6,0.68,64,42982.4,42982.4,0
8,0.72,64,42982.4,42982.4,0
13,0.72,64,42988.8,42988.8,0
13,0.56,64,42995.2,42995.2,0
22,0.35999998,64,43008,43008,0
2,0.32,64,43014.4,43014.4,0
21,0.76,64,43014.4,43014.4,0
17,0.52,64,43027.2,43027.2,0
19,0.19999999,64,43027.2,43027.2,0
11,0.56,64,43059.2,43059.2,0
21,0.32,64,43059.2,43059.2,0
1,0.6,64,43065.6,43065.6,0
10,0.32,64,43065.6,43065.6,0
4,0.92,64,43072,43072,0
24,0.32,64,43072,43072,0
1,0.92,64,43078.4,43078.4,0
24,0.6,64,43078.4,43078.4,0
7,0.96,64,43084.8,43084.8,0
18,0.23999998,64,43084.8,43084.8,0
24,0.68,64,43091.2,43091.2,0
12,0.96,64,43097.6,43097.6,0
13,0.23999998,64,43104,43104,0
20,0.6,64,43104,43104,0
20,0.68,64,43123.2,43123.2,0
21,0.28,64,43129.6,43129.6,0
1,0.23999998,64,43136,43136,0
8,0.43999997,64,43136,43136,0
18,0.96,64,43136,43136,0
23,0.32,64,43142.4,43142.4,0
19,0.88,64,43168,43168,0
10,0.92,64,43174.4,43174.4,0
19,0.28,64,43180.8,43180.8,0
22,0.23999998,64,43187.2,43187.2,0
22,0.52,64,43187.2,43187.2,0
12,0.43999997,64,43193.6,43193.6,0
4,1,64,43225.6,43225.6,0
7,0.76,64,43232,43232,0
15,0.84,64,43238.4,43238.4,0
23,0.88,64,43238.4,43238.4,0
15,0.76,64,43251.2,43251.2,0
5,0.48,64,43270.4,43270.4,0
21,0.56,64,43270.4,43270.4,0
22,0.96,64,43276.8,43276.8,0
7,0.52,64,43283.2,43283.2,0
4,0.6,64,43296,43296,0
23,0.08,64,43302.4,43302.4,0
20,0.32,64,43340.8,43340.8,0
19,0.92,64,43360,43360,0
9,0.92,64,43372.8,43372.8,0
4,0.23999998,64,43379.2,43379.2,0
19,0.16,64,43379.2,43379.2,0
22,0.56,64,43379.2,43379.2,0
16,0.48,64,43398.4,43398.4,0
5,0.72,64,43404.8,43404.8,0
9,0.12,64,43417.6,43417.6,0
3,0.96,64,43430.4,43430.4,0
16,0.52,64,43436.8,43436.8,0
16,0.68,64,43436.8,43436.8,0
18,0.76,64,43436.8,43436.8,0
17,0.68,64,43443.2,43443.2,0
18,0.88,64,43449.6,43449.6,0
14,0.72,64,43456,43456,0
23,0.56,64,43456,43456,0
16,0.28,64,43468.8,43468.8,0
11,0.68,64,43475.2,43475.2,0
12,1,64,43475.2,43475.2,0
16,0.72,64,43488,43488,0
18,0.35999998,64,43488,43488,0
23,0.68,64,43494.4,43494.4,0
1,0.56,64,43513.6,43513.6,0
6,0.72,64,43513.6,43513.6,0
1,0.32,64,43526.4,43526.4,0
5,1,64,43526.4,43526.4,0
12,0.35999998,64,43526.4,43526.4,0
13,0.84,64,43539.2,43539.2,0
17,1,64,43539.2,43539.2,0
2,0.8,64,43545.6,43545.6,0
4,0.8,64,43545.6,43545.6,0
15,0.92,64,43571.2,43571.2,0
8,0.92,64,43577.6,43577.6,0
10,0.48,64,43577.6,43577.6,0
2,1,64,43584,43584,0
17,0.64,64,43590.4,43590.4,0
19,0.56,64,43590.4,43590.4,0
11,0.72,64,43596.8,43596.8,0
17,0.48,64,43622.4,43622.4,0
11,0.84,64,43635.2,43635.2,0
21,0.39999998,64,43641.6,43641.6,0
7,1,64,43648,43648,0
15,0.64,64,43648,43648,0
16,0.96,64,43667.2,43667.2,0
15,0.88,64,43680,43680,0
18,1,64,43699.2,43699.2,0
11,0.64,64,43724.8,43724.8,0
14,0.96,64,43731.2,43731.2,0
18,0.8,64,43737.6,43737.6,0
10,0.84,64,43744,43744,0
22,0.76,64,43750.4,43750.4,0
21,0.6,64,43769.6,43769.6,0
22,0.68,64,43769.6,43769.6,0
19,0.84,64,43776,43776,0
23,0.8,64,43776,43776,0
24,0.08,64,43776,43776,0
14,1,64,43795.2,43795.2,0
23,0.6,64,43795.2,43795.2,0
20,0.92,64,43808,43808,0
24,0.52,64,43808,43808,0
1,0.76,64,43820.8,43820.8,0
15,0.8,64,43827.2,43827.2,0
20,0.96,64,43840,43840,0
17,0.39999998,64,43852.8,43852.8,0
14,0.6,64,43859.2,43859.2,0
18,0.92,64,43884.8,43884.8,0
15,0.96,64,43916.8,43916.8,0
16,0.56,64,43929.6,43929.6,0
11,0.92,64,43936,43936,0
2,0.76,64,43955.2,43955.2,0
22,0.84,64,43955.2,43955.2,0
6,1,64,43961.6,43961.6,0
19,0.35999998,64,43961.6,43961.6,0
11,0.43999997,64,43974.4,43974.4,0
1,0.64,64,43987.2,43987.2,0
22,0.92,64,44006.4,44006.4,0
20,0.88,64,44012.8,44012.8,0
